audio_source,formatter,keyterms_enabled,speaker_count,speaker_switches,line_count,utterance_count,avg_utterance_confidence,request_cost_usd
m4a_copy,word_speaker,true,4,221,972,823,0.8873,0.349260
m4a_copy,utterance,true,4,128,823,823,0.8873,0.349260
m4a_copy,word_speaker,false,4,226,933,771,0.9004,0.267080
m4a_copy,utterance,false,4,116,771,771,0.9004,0.267080
mp3_96k,word_speaker,true,5,210,981,840,0.8882,0.349260
mp3_96k,utterance,true,5,125,840,840,0.8882,0.349260
mp3_96k,word_speaker,false,5,217,946,798,0.9038,0.267080
mp3_96k,utterance,false,5,120,798,798,0.9038,0.267080
mp3_192k,word_speaker,true,4,215,977,843,0.8865,0.349260
mp3_192k,utterance,true,4,126,843,843,0.8865,0.349260
mp3_192k,word_speaker,false,4,221,945,796,0.9038,0.267080
mp3_192k,utterance,false,4,121,796,796,0.9038,0.267080
